guide,gene,control,HAP1_Day00_R1,HAP1_Day00_R2,HAP1_Day14_R1,HAP1_Day14_R2
gEss_000001,PSMD6,false,337,714,3,3
gEss_000002,PSMD6,false,366,687,4,6
gEss_000003,PSMD6,false,661,800,7,56
gEss_000004,PSMD6,false,180,569,10,17
gEss_000005,PSMD6,false,146,176,2,12
gEss_000006,PSMD6,false,594,864,1,3
gEss_000007,PSMD6,false,252,302,5,26
gEss_000008,PSMD6,false,337,454,187,133
gEss_000009,PSMD6,false,829,1439,21,45
gEss_000010,PSMD6,false,358,1112,12,7
gEss_000011,C1orf109,false,1522,1498,1758,1421
gEss_000012,C1orf109,false,835,921,847,528
gEss_000013,C1orf109,false,1625,2597,2150,1508
gEss_000014,C1orf109,false,1124,946,767,738
gEss_000015,C1orf109,false,1401,1129,1083,941
gEss_000016,C1orf109,false,1173,1157,970,660
gEss_000017,C1orf109,false,670,654,1049,952
gEss_000018,C1orf109,false,1168,1490,2069,1337
gEss_000019,C1orf109,false,681,968,810,438
gEss_000020,C1orf109,false,1052,1144,1666,850
gEss_000021,PSMB2,false,408,1104,1161,364
gEss_000022,PSMB2,false,91,270,15,2
gEss_000023,PSMB2,false,895,1228,2330,1098
gEss_000024,PSMB2,false,301,913,1,1
gEss_000025,PSMB2,false,531,890,1453,895
gEss_000026,PSMB2,false,294,429,17,44
gEss_000027,PSMB2,false,312,725,33,28
gEss_000028,PSMB2,false,489,1238,23,27
gEss_000029,PSMB2,false,713,959,254,93
gEss_000030,PSMB2,false,359,617,124,74
gEss_000041,POLR3K,false,575,1183,803,448
gEss_000042,POLR3K,false,1083,989,897,1165
gEss_000043,POLR3K,false,893,1055,650,931
gEss_000044,POLR3K,false,535,755,437,268
gEss_000045,POLR3K,false,992,1039,876,887
gEss_000046,POLR3K,false,1515,1284,814,860
gEss_000047,POLR3K,false,837,862,499,544
gEss_000048,POLR3K,false,753,827,262,329
gEss_000049,POLR3K,false,1055,1015,1007,943
gEss_000050,POLR3K,false,1201,1588,145,134
gEss_000071,TIMELESS,false,543,1057,113,44
gEss_000072,TIMELESS,false,549,930,319,258
gEss_000073,TIMELESS,false,529,487,783,639
gEss_000074,TIMELESS,false,389,1198,13,12
gEss_000075,TIMELESS,false,1060,1149,1043,613
gEss_000076,TIMELESS,false,234,267,148,126
gEss_000077,TIMELESS,false,1811,1504,1357,1213
gEss_000078,TIMELESS,false,572,638,358,506
gEss_000079,TIMELESS,false,1120,1274,453,444
gEss_000080,TIMELESS,false,610,951,102,93
gEss_000101,UBR4,false,413,955,1,3
gEss_000102,UBR4,false,734,874,125,49
gEss_000103,UBR4,false,979,915,172,155
gEss_000104,UBR4,false,212,375,255,186
gEss_000105,UBR4,false,267,302,135,135
gEss_000106,UBR4,false,515,966,52,48
gEss_000107,UBR4,false,294,272,63,81
gEss_000108,UBR4,false,776,1124,53,49
gEss_000109,UBR4,false,502,910,2,13
gEss_000110,UBR4,false,757,820,138,146
gEss_000121,PRPF8,false,364,869,1,3
gEss_000122,PRPF8,false,154,266,1,6
gEss_000123,PRPF8,false,271,532,1,7
gEss_000124,PRPF8,false,136,322,6,35
gEss_000125,PRPF8,false,334,1244,1,2
gEss_000126,PRPF8,false,440,1157,47,40
gEss_000127,PRPF8,false,301,953,21,6
gEss_000128,PRPF8,false,376,926,1,7
gEss_000129,PRPF8,false,195,651,1,1
gEss_000130,PRPF8,false,243,681,1,1
gEss_000171,MIS18BP1,false,384,1227,12,17
gEss_000172,MIS18BP1,false,580,371,385,571
gEss_000173,MIS18BP1,false,1480,1514,675,842
gEss_000174,MIS18BP1,false,196,832,95,27
gEss_000175,MIS18BP1,false,620,757,14,57
gEss_000176,MIS18BP1,false,1266,1275,469,442
gEss_000177,MIS18BP1,false,194,332,224,258
gEss_000178,MIS18BP1,false,656,1272,37,58
gEss_000179,MIS18BP1,false,642,743,478,334
gEss_000180,MIS18BP1,false,555,973,1,5
gEss_000211,POLA1,false,303,1033,7,15
gEss_000212,POLA1,false,685,299,83,384
gEss_000213,POLA1,false,535,1362,124,40
gEss_000214,POLA1,false,159,462,1,1
gEss_000215,POLA1,false,534,1251,4,27
gEss_000216,POLA1,false,787,1119,2,13
gEss_000217,POLA1,false,332,483,646,384
gEss_000218,POLA1,false,343,947,8,12
gEss_000219,POLA1,false,396,921,114,67
gEss_000220,POLA1,false,769,1187,2,7
gEss_000231,SCFD1,false,660,614,743,656
gEss_000232,SCFD1,false,482,815,622,548
gEss_000233,SCFD1,false,135,62,140,131
gEss_000234,SCFD1,false,628,1384,36,42
gEss_000235,SCFD1,false,416,789,176,75
gEss_000236,SCFD1,false,1078,734,832,1005
gEss_000237,SCFD1,false,744,856,588,291
gEss_000238,SCFD1,false,1052,905,528,635
gEss_000239,SCFD1,false,284,704,47,55
gEss_000240,SCFD1,false,156,795,51,3
gEss_000241,EXOSC6,false,1021,963,908,886
gEss_000242,EXOSC6,false,996,796,511,1145
gEss_000243,EXOSC6,false,979,698,882,1249
gEss_000244,EXOSC6,false,949,1291,2116,1430
gEss_000245,EXOSC6,false,772,605,858,773
gEss_000246,EXOSC6,false,422,557,408,435
gEss_000247,EXOSC6,false,1482,1415,1216,1301
gEss_000248,EXOSC6,false,662,739,842,609
gEss_000249,EXOSC6,false,1366,1505,1806,2022
gEss_000250,EXOSC6,false,789,842,590,721
gEss_000281,NELFB,false,915,1395,2696,1101
gEss_000282,NELFB,false,1095,1104,2943,1848
gEss_000283,NELFB,false,320,393,455,226
gEss_000284,NELFB,false,730,622,1860,1433
gEss_000285,NELFB,false,581,651,833,497
gEss_000286,NELFB,false,1150,1181,1998,1832
gEss_000287,NELFB,false,734,1561,1154,442
gEss_000288,NELFB,false,675,732,2015,1955
gEss_000289,NELFB,false,1832,2153,2819,1319
gEss_000290,NELFB,false,1151,1562,3592,3011
gEss_000291,PPIL4,false,740,438,393,521
gEss_000292,PPIL4,false,859,616,712,793
gEss_000293,PPIL4,false,378,812,235,152
gEss_000294,PPIL4,false,796,723,376,851
gEss_000295,PPIL4,false,1007,917,1274,1463
gEss_000296,PPIL4,false,950,837,545,542
gEss_000297,PPIL4,false,259,243,104,267
gEss_000298,PPIL4,false,452,565,448,772
gEss_000299,PPIL4,false,1367,1101,1108,1008
gEss_000300,PPIL4,false,967,574,613,880
gEss_000301,DHX33,false,845,1404,862,506
gEss_000302,DHX33,false,747,1093,891,742
gEss_000303,DHX33,false,1135,1324,1348,629
gEss_000304,DHX33,false,907,1243,1466,1060
gEss_000305,DHX33,false,439,830,90,173
gEss_000306,DHX33,false,939,1288,238,258
gEss_000307,DHX33,false,951,830,825,670
gEss_000308,DHX33,false,752,673,830,619
gEss_000309,DHX33,false,577,660,993,746
gEss_000310,DHX33,false,1048,1572,1247,707
gEss_000321,SNRNP48,false,221,169,130,251
gEss_000322,SNRNP48,false,801,825,644,625
gEss_000323,SNRNP48,false,1125,806,418,1173
gEss_000324,SNRNP48,false,705,798,45,53
gEss_000325,SNRNP48,false,830,802,1128,980
gEss_000326,SNRNP48,false,534,565,76,65
gEss_000327,SNRNP48,false,552,855,696,416
gEss_000328,SNRNP48,false,621,545,827,556
gEss_000329,SNRNP48,false,670,691,641,588
gEss_000330,SNRNP48,false,1195,809,919,1418
gEss_000341,ROMO1,false,990,1301,55,107
gEss_000342,ROMO1,false,505,668,5,12
gEss_000343,ROMO1,false,731,816,234,634
gEss_000344,ROMO1,false,811,945,202,185
gEss_000345,ROMO1,false,653,725,79,172
gEss_000346,ROMO1,false,499,642,218,175
gEss_000347,ROMO1,false,1057,860,1025,1029
gEss_000348,ROMO1,false,1037,923,408,531
gEss_000349,ROMO1,false,1458,1436,209,452
gEss_000350,ROMO1,false,688,714,494,794
gEss_000351,POLD2,false,621,858,121,182
gEss_000352,POLD2,false,256,378,113,106
gEss_000353,POLD2,false,576,940,256,291
gEss_000354,POLD2,false,754,1180,898,484
gEss_000355,POLD2,false,797,971,925,808
gEss_000356,POLD2,false,225,334,23,42
gEss_000357,POLD2,false,927,894,104,257
gEss_000358,POLD2,false,231,206,2,15
gEss_000359,POLD2,false,1035,1649,183,174
gEss_000360,POLD2,false,1748,1245,722,1176
gEss_000361,NSF,false,360,939,207,129
gEss_000362,NSF,false,221,633,11,16
gEss_000363,NSF,false,723,1567,44,44
gEss_000364,NSF,false,537,583,242,333
gEss_000365,NSF,false,636,1024,44,52
gEss_000366,NSF,false,709,534,393,610
gEss_000367,NSF,false,884,1043,353,331
gEss_000368,NSF,false,1135,840,725,1169
gEss_000369,NSF,false,596,1261,87,57
gEss_000370,NSF,false,174,297,47,67
gEss_000371,TSG101,false,583,715,215,241
gEss_000372,TSG101,false,716,1146,424,307
gEss_000373,TSG101,false,619,771,84,72
gEss_000374,TSG101,false,413,640,24,23
gEss_000375,TSG101,false,299,442,9,25
gEss_000376,TSG101,false,1008,816,1388,1260
gEss_000377,TSG101,false,1028,1065,1039,964
gEss_000378,TSG101,false,1199,942,530,874
gEss_000379,TSG101,false,845,1132,530,360
gEss_000380,TSG101,false,515,351,644,635
gEss_000391,TBCA,false,366,470,525,339
gEss_000392,TBCA,false,1701,1490,1293,1098
gEss_000393,TBCA,false,813,946,252,224
gEss_000394,TBCA,false,656,762,847,539
gEss_000395,TBCA,false,171,154,106,145
gEss_000396,TBCA,false,361,341,271,219
gEss_000397,TBCA,false,1301,1510,1429,1199
gEss_000398,TBCA,false,601,907,1170,1032
gEss_000399,TBCA,false,953,719,695,905
gEss_000400,TBCA,false,862,960,793,675
gEss_000411,BRAP,false,680,562,268,503
gEss_000412,BRAP,false,706,836,396,622
gEss_000413,BRAP,false,780,747,562,565
gEss_000414,BRAP,false,1000,776,459,866
gEss_000415,BRAP,false,480,655,1059,659
gEss_000416,BRAP,false,1006,1134,1170,619
gEss_000417,BRAP,false,627,571,542,571
gEss_000418,BRAP,false,478,592,1101,1037
gEss_000419,BRAP,false,537,462,581,619
gEss_000420,BRAP,false,1154,1004,850,1085
gEss_000421,OSGEP,false,338,633,14,28
gEss_000422,OSGEP,false,520,747,655,377
gEss_000423,OSGEP,false,676,1307,139,176
gEss_000424,OSGEP,false,1095,1322,726,595
gEss_000425,OSGEP,false,1129,835,756,1022
gEss_000426,OSGEP,false,547,664,892,697
gEss_000427,OSGEP,false,408,571,18,42
gEss_000428,OSGEP,false,742,2024,48,42
gEss_000429,OSGEP,false,808,615,557,575
gEss_000430,OSGEP,false,651,566,241,228
gEss_000431,BRIX1,false,435,1516,21,13
gEss_000432,BRIX1,false,173,758,11,3
gEss_000433,BRIX1,false,222,999,6,6
gEss_000434,BRIX1,false,286,511,456,198
gEss_000435,BRIX1,false,358,864,61,34
gEss_000436,BRIX1,false,262,793,23,21
gEss_000437,BRIX1,false,210,487,2,4
gEss_000438,BRIX1,false,1374,1449,1602,1556
gEss_000439,BRIX1,false,1110,1065,262,438
gEss_000440,BRIX1,false,597,573,456,650
gEss_000441,SPATA5L1,false,1069,997,433,471
gEss_000442,SPATA5L1,false,629,1312,40,38
gEss_000443,SPATA5L1,false,643,835,801,942
gEss_000444,SPATA5L1,false,645,937,838,563
gEss_000445,SPATA5L1,false,648,990,1358,512
gEss_000446,SPATA5L1,false,778,1000,1177,925
gEss_000447,SPATA5L1,false,649,726,580,380
gEss_000448,SPATA5L1,false,596,1083,239,136
gEss_000449,SPATA5L1,false,384,585,415,548
gEss_000450,SPATA5L1,false,988,1180,1193,860
gEss_000451,METAP2,false,851,1091,103,126
gEss_000452,METAP2,false,699,891,104,91
gEss_000453,METAP2,false,417,2153,56,10
gEss_000454,METAP2,false,954,1516,25,68
gEss_000455,METAP2,false,903,1509,55,171
gEss_000456,METAP2,false,394,1379,18,9
gEss_000457,METAP2,false,936,1255,127,304
gEss_000458,METAP2,false,552,1040,117,170
gEss_000459,METAP2,false,1539,2006,345,595
gEss_000460,METAP2,false,1221,1222,197,335
gEss_000461,SUPT5H,false,1280,1133,1038,1454
gEss_000462,SUPT5H,false,737,1411,33,96
gEss_000463,SUPT5H,false,618,1056,40,44
gEss_000464,SUPT5H,false,302,593,40,22
gEss_000465,SUPT5H,false,584,1350,2,17
gEss_000466,SUPT5H,false,830,889,2028,1012
gEss_000467,SUPT5H,false,380,1119,10,11
gEss_000468,SUPT5H,false,988,1428,260,176
gEss_000469,SUPT5H,false,602,975,72,72
gEss_000470,SUPT5H,false,669,1654,15,17
gEss_000481,RFC4,false,561,475,259,348
gEss_000482,RFC4,false,310,473,21,43
gEss_000483,RFC4,false,392,738,90,38
gEss_000484,RFC4,false,422,413,34,46
gEss_000485,RFC4,false,680,999,38,70
gEss_000486,RFC4,false,218,868,1,2
gEss_000487,RFC4,false,374,438,252,143
gEss_000488,RFC4,false,1027,1174,658,494
gEss_000489,RFC4,false,262,795,10,26
gEss_000490,RFC4,false,682,955,128,92
gEss_000501,ORC5,false,561,780,172,210
gEss_000502,ORC5,false,619,725,400,359
gEss_000503,ORC5,false,621,725,582,380
gEss_000504,ORC5,false,507,413,649,465
gEss_000505,ORC5,false,511,466,76,175
gEss_000506,ORC5,false,599,811,144,131
gEss_000507,ORC5,false,328,358,151,226
gEss_000508,ORC5,false,831,1556,241,169
gEss_000509,ORC5,false,713,607,668,790
gEss_000510,ORC5,false,918,900,464,528
gEss_000511,CRNKL1,false,181,314,1,6
gEss_000512,CRNKL1,false,701,886,812,334
gEss_000513,CRNKL1,false,437,736,182,84
gEss_000514,CRNKL1,false,366,720,1,5
gEss_000515,CRNKL1,false,695,1019,951,682
gEss_000516,CRNKL1,false,507,882,81,70
gEss_000517,CRNKL1,false,452,429,142,129
gEss_000518,CRNKL1,false,401,433,328,659
gEss_000519,CRNKL1,false,280,535,18,29
gEss_000520,CRNKL1,false,572,486,269,238
gEss_000521,HEATR1,false,720,868,130,112
gEss_000522,HEATR1,false,879,825,858,1124
gEss_000523,HEATR1,false,788,949,21,31
gEss_000524,HEATR1,false,902,437,336,675
gEss_000525,HEATR1,false,429,702,9,27
gEss_000526,HEATR1,false,345,445,21,29
gEss_000527,HEATR1,false,223,1317,1,2
gEss_000528,HEATR1,false,699,896,35,60
gEss_000529,HEATR1,false,665,861,151,175
gEss_000530,HEATR1,false,390,434,280,226
gEss_000531,POLE2,false,478,861,10,2
gEss_000532,POLE2,false,336,437,336,390
gEss_000533,POLE2,false,402,505,14,65
gEss_000534,POLE2,false,446,563,2,19
gEss_000535,POLE2,false,550,545,763,564
gEss_000536,POLE2,false,374,793,9,8
gEss_000537,POLE2,false,280,530,1,4
gEss_000538,POLE2,false,219,462,1,2
gEss_000539,POLE2,false,303,537,3,22
gEss_000540,POLE2,false,314,585,9,30
gEss_000541,DCLRE1B,false,1134,1009,813,663
gEss_000542,DCLRE1B,false,590,813,951,586
gEss_000543,DCLRE1B,false,919,874,959,687
gEss_000544,DCLRE1B,false,539,562,417,603
gEss_000545,DCLRE1B,false,996,1342,1333,718
gEss_000546,DCLRE1B,false,891,861,818,830
gEss_000547,DCLRE1B,false,650,482,464,552
gEss_000548,DCLRE1B,false,1709,1656,2222,1451
gEss_000549,DCLRE1B,false,274,415,438,254
gEss_000550,DCLRE1B,false,509,535,307,474
gEss_000561,WDR43,false,206,1156,2,2
gEss_000562,WDR43,false,632,1648,42,13
gEss_000563,WDR43,false,637,674,40,106
gEss_000564,WDR43,false,545,655,251,236
gEss_000565,WDR43,false,272,405,52,28
gEss_000566,WDR43,false,332,302,97,244
gEss_000567,WDR43,false,341,478,7,29
gEss_000568,WDR43,false,793,966,217,288
gEss_000569,WDR43,false,1063,1215,311,203
gEss_000570,WDR43,false,308,428,2,32
gEss_000581,MCM3,false,296,1261,1,9
gEss_000582,MCM3,false,836,727,786,717
gEss_000583,MCM3,false,737,878,326,252
gEss_000584,MCM3,false,410,1771,39,7
gEss_000585,MCM3,false,880,1199,448,551
gEss_000586,MCM3,false,506,834,159,192
gEss_000587,MCM3,false,759,418,273,303
gEss_000588,MCM3,false,218,308,122,101
gEss_000589,MCM3,false,579,1419,184,56
gEss_000590,MCM3,false,978,1082,734,798
gEss_000631,TRMT5,false,1327,1506,116,257
gEss_000632,TRMT5,false,903,887,1131,786
gEss_000633,TRMT5,false,452,477,302,326
gEss_000634,TRMT5,false,822,695,620,950
gEss_000635,TRMT5,false,918,664,830,702
gEss_000636,TRMT5,false,991,903,1019,541
gEss_000637,TRMT5,false,1303,1150,1103,1172
gEss_000638,TRMT5,false,705,914,226,243
gEss_000639,TRMT5,false,665,603,374,579
gEss_000640,TRMT5,false,1184,1290,1721,1010
gEss_000651,TCP1,false,504,662,50,65
gEss_000652,TCP1,false,324,507,14,50
gEss_000653,TCP1,false,371,843,7,7
gEss_000654,TCP1,false,336,994,4,1
gEss_000655,TCP1,false,530,1081,2,11
gEss_000656,TCP1,false,428,1330,1,7
gEss_000657,TCP1,false,305,766,15,8
gEss_000658,TCP1,false,440,777,2,15
gEss_000659,TCP1,false,246,992,4,4
gEss_000660,TCP1,false,579,586,12,58
gEss_000661,MCM6,false,241,966,5,2
gEss_000662,MCM6,false,636,1467,18,22
gEss_000663,MCM6,false,309,708,15,18
gEss_000664,MCM6,false,638,982,167,150
gEss_000665,MCM6,false,742,1617,116,80
gEss_000666,MCM6,false,470,585,247,282
gEss_000667,MCM6,false,1075,1032,488,359
gEss_000668,MCM6,false,83,329,17,11
gEss_000669,MCM6,false,548,856,43,70
gEss_000670,MCM6,false,1110,1440,51,111
gEss_000681,MED18,false,905,613,717,1082
gEss_000682,MED18,false,1438,1292,1192,1318
gEss_000683,MED18,false,1082,958,1066,826
gEss_000684,MED18,false,1315,1032,799,1259
gEss_000685,MED18,false,1685,1493,1751,1299
gEss_000686,MED18,false,1187,1294,853,721
gEss_000687,MED18,false,1401,1927,1072,1152
gEss_000688,MED18,false,715,663,696,715
gEss_000689,MED18,false,996,1166,1752,1346
gEss_000690,MED18,false,884,1076,1125,826
gEss_000701,DDX46,false,365,496,1,7
gEss_000702,DDX46,false,480,1181,11,10
gEss_000703,DDX46,false,677,427,626,619
gEss_000704,DDX46,false,577,875,2,7
gEss_000705,DDX46,false,1184,1242,1535,1037
gEss_000706,DDX46,false,98,449,1,4
gEss_000707,DDX46,false,467,888,10,60
gEss_000708,DDX46,false,416,772,7,9
gEss_000709,DDX46,false,357,752,10,31
gEss_000710,DDX46,false,543,725,122,117
gEss_000711,DDB1,false,449,516,2,16
gEss_000712,DDB1,false,452,865,89,74
gEss_000713,DDB1,false,748,725,717,695
gEss_000714,DDB1,false,230,411,9,5
gEss_000715,DDB1,false,104,456,4,4
gEss_000716,DDB1,false,347,920,39,28
gEss_000717,DDB1,false,248,685,5,16
gEss_000718,DDB1,false,323,661,34,24
gEss_000719,DDB1,false,265,1188,13,3
gEss_000720,DDB1,false,500,993,21,14
gEss_000721,EXOSC2,false,711,1642,18,31
gEss_000722,EXOSC2,false,853,1533,62,132
gEss_000723,EXOSC2,false,1090,1324,1264,984
gEss_000724,EXOSC2,false,531,559,66,99
gEss_000725,EXOSC2,false,614,1131,42,46
gEss_000726,EXOSC2,false,1594,1536,828,977
gEss_000727,EXOSC2,false,590,1159,37,32
gEss_000728,EXOSC2,false,694,472,80,291
gEss_000729,EXOSC2,false,945,830,14,33
gEss_000730,EXOSC2,false,1119,1084,506,513
gEss_000731,NGDN,false,812,942,290,135
gEss_000732,NGDN,false,539,776,845,361
gEss_000733,NGDN,false,905,799,926,807
gEss_000734,NGDN,false,800,1120,943,1011
gEss_000735,NGDN,false,975,907,372,332
gEss_000736,NGDN,false,1178,1050,841,918
gEss_000737,NGDN,false,731,646,468,566
gEss_000738,NGDN,false,624,1113,1053,567
gEss_000739,NGDN,false,973,1289,1169,928
gEss_000740,NGDN,false,1621,1360,750,1522
gEss_000741,WDR46,false,436,1134,126,82
gEss_000742,WDR46,false,459,1014,13,21
gEss_000743,WDR46,false,955,1494,538,413
gEss_000744,WDR46,false,522,741,81,59
gEss_000745,WDR46,false,1020,2010,13,54
gEss_000746,WDR46,false,750,884,882,482
gEss_000747,WDR46,false,1356,1564,583,597
gEss_000748,WDR46,false,982,1360,496,527
gEss_000749,WDR46,false,908,1361,45,54
gEss_000750,WDR46,false,1618,1179,1012,981
gEss_000751,RPLP2,false,604,973,17,6
gEss_000752,RPLP2,false,767,1739,2,15
gEss_000753,RPLP2,false,424,804,2,18
gEss_000754,RPLP2,false,449,1266,1,1
gEss_000755,RPLP2,false,441,1710,13,10
gEss_000756,RPLP2,false,370,590,9,47
gEss_000757,RPLP2,false,400,543,2,11
gEss_000758,RPLP2,false,547,772,216,175
gEss_000759,RPLP2,false,385,1054,16,11
gEss_000760,RPLP2,false,497,1171,1,5
gEss_000761,TNPO3,false,387,843,54,51
gEss_000762,TNPO3,false,570,951,11,36
gEss_000763,TNPO3,false,159,483,3,6
gEss_000764,TNPO3,false,532,1160,114,62
gEss_000765,TNPO3,false,981,802,356,341
gEss_000766,TNPO3,false,901,930,540,539
gEss_000767,TNPO3,false,669,1178,197,103
gEss_000768,TNPO3,false,1495,2241,781,400
gEss_000769,TNPO3,false,340,190,356,413
gEss_000770,TNPO3,false,710,604,246,153
gEss_000772,RPL7,false,293,950,1,1
gEss_000777,RPL7,false,550,959,4,35
gEss_000778,RPL7,false,437,1099,11,9
gEss_000779,RPL7,false,297,486,1,10
gEss_000781,TUBGCP3,false,752,610,85,270
gEss_000782,TUBGCP3,false,228,469,1,1
gEss_000783,TUBGCP3,false,246,737,39,64
gEss_000784,TUBGCP3,false,503,810,17,30
gEss_000785,TUBGCP3,false,345,1086,78,16
gEss_000786,TUBGCP3,false,259,591,4,5
gEss_000787,TUBGCP3,false,655,1154,59,104
gEss_000788,TUBGCP3,false,237,805,7,12
gEss_000789,TUBGCP3,false,985,1011,87,123
gEss_000790,TUBGCP3,false,704,811,611,799
gEss_000791,ACTR10,false,316,284,2,10
gEss_000792,ACTR10,false,912,948,240,140
gEss_000793,ACTR10,false,125,185,5,9
gEss_000794,ACTR10,false,843,952,564,778
gEss_000795,ACTR10,false,554,527,321,253
gEss_000796,ACTR10,false,357,554,89,43
gEss_000797,ACTR10,false,502,464,402,465
gEss_000798,ACTR10,false,931,731,133,241
gEss_000799,ACTR10,false,395,622,156,116
gEss_000800,ACTR10,false,427,604,228,151
gEss_000811,PRMT5,false,634,816,236,356
gEss_000812,PRMT5,false,884,633,545,1058
gEss_000813,PRMT5,false,441,831,334,194
gEss_000814,PRMT5,false,852,1009,400,325
gEss_000815,PRMT5,false,903,1100,817,605
gEss_000816,PRMT5,false,719,740,88,343
gEss_000817,PRMT5,false,510,630,165,105
gEss_000818,PRMT5,false,878,806,1054,1025
gEss_000819,PRMT5,false,743,1044,137,134
gEss_000820,PRMT5,false,292,972,2,9
gEss_000821,TUFM,false,1114,1771,104,80
gEss_000822,TUFM,false,617,758,137,171
gEss_000823,TUFM,false,546,842,2,9
gEss_000824,TUFM,false,1701,1898,309,749
gEss_000825,TUFM,false,340,423,6,12
gEss_000826,TUFM,false,471,819,75,63
gEss_000827,TUFM,false,892,1148,504,394
gEss_000828,TUFM,false,932,2110,64,53
gEss_000829,TUFM,false,1409,2040,1847,983
gEss_000830,TUFM,false,390,443,194,285
gEss_000841,DTL,false,331,300,2,6
gEss_000842,DTL,false,617,412,211,561
gEss_000843,DTL,false,1106,1430,82,119
gEss_000844,DTL,false,884,609,495,449
gEss_000845,DTL,false,387,570,6,19
gEss_000846,DTL,false,335,502,26,26
gEss_000847,DTL,false,592,650,106,57
gEss_000848,DTL,false,496,671,328,296
gEss_000849,DTL,false,1034,766,709,1074
gEss_000850,DTL,false,805,967,1392,1512
gEss_000881,CEBPZ,false,389,341,155,98
gEss_000882,CEBPZ,false,1100,1325,615,464
gEss_000883,CEBPZ,false,305,610,37,42
gEss_000884,CEBPZ,false,904,861,650,660
gEss_000885,CEBPZ,false,284,393,102,83
gEss_000887,CEBPZ,false,1140,1685,293,205
gEss_000888,CEBPZ,false,1031,1696,470,561
gEss_000889,CEBPZ,false,572,1138,107,160
gEss_000890,CEBPZ,false,271,275,93,296
gEss_000891,INTS8,false,446,284,616,442
gEss_000892,INTS8,false,496,507,79,175
gEss_000893,INTS8,false,389,339,55,81
gEss_000894,INTS8,false,476,631,56,47
gEss_000895,INTS8,false,532,709,2,16
gEss_000896,INTS8,false,688,866,427,382
gEss_000897,INTS8,false,251,739,17,29
gEss_000898,INTS8,false,657,480,22,154
gEss_000899,INTS8,false,686,903,18,62
gEss_000900,INTS8,false,387,859,21,21
gEss_000901,PSMD14,false,1485,1068,1132,990
gEss_000902,PSMD14,false,462,786,32,35
gEss_000903,PSMD14,false,721,766,16,65
gEss_000904,PSMD14,false,608,847,1238,1071
gEss_000905,PSMD14,false,1104,1243,244,237
gEss_000906,PSMD14,false,166,741,23,2
gEss_000907,PSMD14,false,827,1340,19,27
gEss_000908,PSMD14,false,993,1079,1286,1000
gEss_000909,PSMD14,false,1131,1219,290,256
gEss_000910,PSMD14,false,518,649,18,32
gEss_000911,AQR,false,942,1408,162,251
gEss_000912,AQR,false,402,699,16,9
gEss_000913,AQR,false,958,1022,180,182
gEss_000914,AQR,false,460,522,2,27
gEss_000915,AQR,false,330,383,7,6
gEss_000916,AQR,false,343,655,2,11
gEss_000917,AQR,false,655,787,5,27
gEss_000918,AQR,false,923,1418,36,33
gEss_000919,AQR,false,587,945,32,105
gEss_000920,AQR,false,392,649,43,58
gEss_000931,EIF3B,false,484,1218,1,7
gEss_000932,EIF3B,false,597,1058,49,27
gEss_000933,EIF3B,false,787,756,69,111
gEss_000934,EIF3B,false,971,549,462,791
gEss_000935,EIF3B,false,262,482,5,7
gEss_000936,EIF3B,false,613,988,87,63
gEss_000937,EIF3B,false,545,955,8,18
gEss_000938,EIF3B,false,567,886,1,9
gEss_000939,EIF3B,false,595,1665,1,19
gEss_000940,EIF3B,false,566,1077,1,1
gEss_000941,NUP133,false,831,1071,61,121
gEss_000942,NUP133,false,553,801,52,93
gEss_000943,NUP133,false,698,1125,29,39
gEss_000944,NUP133,false,724,1237,29,58
gEss_000945,NUP133,false,580,991,30,53
gEss_000946,NUP133,false,845,950,23,105
gEss_000947,NUP133,false,509,956,45,44
gEss_000948,NUP133,false,817,1330,62,71
gEss_000949,NUP133,false,992,1613,217,222
gEss_000950,NUP133,false,1080,1283,128,193
gEss_000951,NUP93,false,437,867,2,4
gEss_000952,NUP93,false,330,1324,7,8
gEss_000953,NUP93,false,700,656,39,70
gEss_000954,NUP93,false,354,659,142,176
gEss_000955,NUP93,false,733,1591,10,11
gEss_000956,NUP93,false,829,1208,2,25
gEss_000957,NUP93,false,280,717,3,2
gEss_000958,NUP93,false,353,1800,65,7
gEss_000959,NUP93,false,233,327,3,13
gEss_000960,NUP93,false,786,878,79,81
gEss_000971,SFPQ,false,547,973,25,9
gEss_000972,SFPQ,false,423,724,20,15
gEss_000973,SFPQ,false,488,717,4,28
gEss_000974,SFPQ,false,388,1247,1,3
gEss_000975,SFPQ,false,433,1177,1,16
gEss_000976,SFPQ,false,408,1251,28,9
gEss_000977,SFPQ,false,461,1251,2,7
gEss_000978,SFPQ,false,353,787,13,11
gEss_000979,SFPQ,false,232,787,80,22
gEss_000980,SFPQ,false,486,914,10,9
gEss_000981,SNRNP200,false,401,1352,34,12
gEss_000982,SNRNP200,false,909,950,2,14
gEss_000983,SNRNP200,false,633,1092,22,16
gEss_000984,SNRNP200,false,607,1201,13,35
gEss_000985,SNRNP200,false,583,862,2,35
gEss_000986,SNRNP200,false,400,983,3,2
gEss_000987,SNRNP200,false,336,978,4,18
gEss_000988,SNRNP200,false,222,683,1,1
gEss_000989,SNRNP200,false,326,881,1,7
gEss_000990,SNRNP200,false,638,1324,16,40
gL_000008,Hum_XLOC_000006,false,318,363,8,20
